Sl. No.,State/UT,Rural - % of Persons,Rural - No. of Persons (lakhs),Urban - % of Persons,Urban - No. of Persons (lakhs),Total - % of Persons,Total - No. of Persons (lakhs)
1,Andhra Pradesh,10.96,61.8,5.81,16.98,9.2,78.78
2,Arunachal Pradesh,38.93,4.25,20.33,0.66,34.67,4.91
3,Assam,33.89,92.06,20.49,9.21,31.98,101.27
4,Bihar,34.06,320.4,31.23,37.75,33.74,358.15
5,Chhattisgarh,44.61,88.9,24.75,15.22,39.93,104.11
6,Delhi,12.92,0.5,9.84,16.46,9.91,16.96
7,Goa,6.81,0.37,4.09,0.38,5.09,0.75
8,Gujarat,21.54,75.35,10.14,26.88,16.63,102.23
9,Haryana,11.64,19.42,10.28,9.41,11.16,28.83
10,Himachal Pradesh,8.48,5.29,4.33,0.3,8.06,5.59
11,Jammu and Kashmir,11.54,10.73,7.2,2.53,10.35,13.27
12,Jharkhand,40.84,104.09,24.83,20.24,36.96,124.33
13,Karnataka,24.53,92.8,15.25,36.96,20.91,129.76
14,Kerala,9.14,15.48,4.97,8.46,7.05,23.95
15,Madhya Pradesh,35.74,190.95,21,43.1,31.65,234.06
16,Maharashtra,24.22,150.56,9.12,47.36,17.35,197.92
17,Manipur,38.8,7.45,32.59,2.78,36.89,10.22
18,Meghalaya,12.53,3.04,9.26,0.57,11.87,3.61
19,Mizoram,35.43,1.91,6.36,0.37,20.4,2.27
20,Nagaland,19.93,2.76,16.48,1,18.88,3.76
21,Odisha,35.69,126.14,17.29,12.39,32.59,138.53
22,Punjab,7.66,13.35,9.24,9.82,8.26,23.18
23,Rajasthan,16.05,84.19,10.69,18.73,14.71,102.92
24,Sikkim,9.85,0.45,3.66,0.06,8.19,0.51
25,Tamil Nadu,15.83,59.23,6.54,23.4,11.28,82.63
26,Tripura,16.53,4.49,7.42,0.75,14.05,5.24
27,Uttarakhand,11.62,8.25,10.48,3.35,11.26,11.6
28,Uttar Pradesh,30.4,479.35,26.06,118.84,29.43,598.19
29,West Bengal,22.52,141.14,14.66,43.83,19.98,184.98
30,Puducherry,17.06,0.69,6.3,0.55,9.69,1.24
31,Andaman and Nicobar Islands,1.57,0.04,0,0,1,0.04
32,Chandigarh,1.64,0.004,22.31,2.34,21.81,2.35
33,Dadra and Nagar Haveli,62.59,1.15,15.38,0.28,39.31,1.43
34,Daman and Diu,0,0,12.62,0.26,9.86,0.26
35,Lakshadweep,0,0,3.44,0.02,2.77,0.02
All India,All India,25.7,2166.58,13.7,531.25,21.92,2697.83
